序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
3206,021504,易方达养老2045五年持有混合(FOF)Y,2026-04-30,1.5261,1.5261,0.49,0.96,13.18,6.91,17.64,54.75,,,15.47,49.02,,0.00%
3207,022311,永赢中证500指数增强发起A,2026-05-07,1.465,1.465,0.37,3.42,13.57,8.01,15.93,54.75,,,15.32,46.5,54.3405,0.12%
3208,017667,鹏华新材料混合发起式A,2026-05-07,1.3675,1.3675,0.68,2.14,0.61,-1.03,19.78,54.71,51.16,38.68,15.36,36.75,56.0717,0.15%
3209,020075,财通资管创新成长混合A,2026-05-07,1.9891,2.0971,1.09,4.04,19.1,14.03,21.46,54.71,114.45,,23.32,116.36,54.8299,0.15%
3210,005314,万家中证1000指数增强C,2026-05-07,1.7186,2.4232,1.66,3.55,13.48,9.74,21.74,54.69,69.78,40.42,18.23,211.29,53.3217,0.00%
3211,016702,银华海外数字经济量化选股混合发起式(QDII)C,2026-05-06,2.0137,2.0137,6.42,7.37,26.87,19.46,13.29,54.69,63.58,102.26,14.65,101.37,,0.00%
3212,023853,景顺长城量化精选股票C,2026-05-07,2.205,2.406,1.19,3.38,14.49,8.51,19.97,54.68,,,17.41,49.57,53.9949,0.00%
3213,000849,汇丰晋信双核策略混合A,2026-05-07,2.065,2.908,1.43,2.38,10.54,-1.27,12.86,54.67,84.26,66.38,8.11,293.2,53.6001,0.15%
3214,014506,博时成长臻选混合A,2026-05-07,1.5288,1.5288,0.82,1.85,9.88,10.81,11.98,54.67,72.24,64.72,15.61,52.88,54.2529,0.15%
3215,015143,中欧智能制造混合A,2026-05-07,2.1874,2.1874,1.79,6.31,28.91,23.37,21.77,54.67,162.53,139.27,25.78,118.74,54.8602,0.15%
3216,011882,招商蓝筹精选股票A,2026-05-07,1.082,1.082,1.79,5.6,15.16,9.66,19.49,54.66,79.44,60.56,18.01,8.2,54.2189,0.15%
3217,001449,华商双驱优选混合,2026-05-07,2.312,2.502,-1.11,0.65,13.22,1.81,12.34,54.65,58.68,48.21,7.94,173.68,53.8257,0.15%
3218,710001,富安达优势成长混合A,2026-05-07,4.4553,4.4553,1.77,4.28,20.06,8.19,-4.67,54.62,65.68,34.3,-2.12,345.53,52.1463,0.15%
3219,010842,华宝科技先锋混合C,2026-05-07,1.7846,1.7846,1.99,3.9,17.74,12.86,21.83,54.56,83.96,62.62,21.5,-0.35,53.0926,0.00%
3220,018971,富国致弘量化选股股票A,2026-05-07,1.5362,1.5362,0.98,3.4,16.56,15.16,23.07,54.55,56.21,,19.89,53.62,52.8709,0.15%
3221,016915,中金华证清洁能源指数发起A,2026-05-07,0.6931,0.6931,0.9,2.67,9.98,-3.92,-1.11,54.54,33.93,-11.75,8.36,-30.69,52.7661,0.10%
3222,014134,工银中证500六个月持有指数增强C,2026-05-07,1.3722,1.3722,0.7,2.56,11.98,5.25,18.7,54.51,66.37,50.07,15.2,37.22,53.7996,0.00%
3223,019469,信澳新材料精选混合C,2026-05-07,1.7588,1.7588,1.05,4.27,19.61,13.85,19.41,54.51,70.76,,24.46,75.88,52.979,0.00%
3224,000827,广发百发100指数E,2026-05-07,1.905,2.265,0.42,1.6,10.76,5.66,14.55,54.5,81.95,73.81,13.26,143.87,53.2582,0.06%
3225,000826,广发百发100指数A,2026-05-07,1.908,2.268,0.42,1.6,10.74,5.65,14.53,54.49,81.89,73.93,13.23,144.21,53.253,0.12%
3226,021663,汇百川远航混合A,2026-05-07,1.7698,1.7698,0.58,2.96,11.65,9.48,20.24,54.49,,,20.82,76.98,53.5618,0.15%
3227,005739,富国转型机遇混合,2026-05-07,2.3861,2.3861,0.38,1.67,7.6,4.93,20.8,54.47,31.16,29.19,14.32,138.61,54.0115,0.15%
3228,017645,博道中证1000指数增强C,2026-05-07,1.8212,1.8212,2.11,4.4,14.45,7.98,18.74,54.47,86.1,,15.43,82.12,53.61,0.00%
3229,006166,建信中证1000指数增强C,2026-05-07,2.3677,2.9748,1.9,4.07,15.04,11.08,21.49,54.46,72.55,53.87,19.27,233.73,53.1938,0.00%
3230,014639,兴全合衡三年持有混合A,2026-05-07,1.2632,1.2632,2.82,5.69,29.02,24.09,27.17,54.46,70.59,52.03,30.64,26.32,52.9298,0.15%
3231,016464,兴全合瑞混合A,2026-05-07,1.4115,1.4115,0.88,2.59,13.99,10.36,16.88,54.45,66.94,48.49,14.41,41.15,53.0745,0.15%
3232,501081,中欧科创主题混合(LOF)A,2026-05-07,3.415,3.415,1.66,6.21,29.43,22.6,20.04,54.44,157.48,132.71,24.64,241.5,54.8472,0.15%
3233,013442,建信中证1000指数增强E,2026-05-07,2.3684,2.8745,1.91,4.07,15.04,11.08,21.49,54.44,72.54,53.88,19.27,47.41,53.1896,0.00%
3234,019555,中银中证1000指数增强A,2026-05-07,1.9171,1.9171,1.25,2.67,12.13,8.82,21.31,54.44,75.61,,17.6,91.71,53.0985,0.12%
3235,016293,华安核心优选混合C,2026-05-07,2.7436,2.7436,1.13,3.34,18.28,8.67,9.82,54.42,46.17,18.54,12.97,3.71,53.7548,0.00%
3236,012754,鹏华内地低碳联接A,2026-05-07,0.9152,0.9152,-0.49,1.81,12.01,6.73,0.92,54.39,49.18,18.11,10.88,-8.48,52.8135,0.10%
3237,018513,易方达养老2045五年持有混合(FOF)A,2026-04-30,1.5197,1.5197,0.48,0.96,13.16,6.86,17.5,54.39,49.14,,15.38,51.97,,0.12%
3238,001796,汇添富安鑫智选混合A,2026-05-07,1.201,1.536,0.33,0.92,5.63,2.83,10.08,54.37,60.13,43.49,6.38,58.86,53.7772,0.15%
3239,014588,华安中证500指数增强C,2026-05-07,1.3419,1.3419,1.28,3.8,15.71,9.58,23.23,54.37,59.03,42.66,18.63,34.19,53.6058,0.00%
3240,019421,华安远见慧选混合发起式A1,2026-05-07,1.4443,1.4443,1.71,4.95,20.87,18.37,20.73,54.37,37.68,,20.55,44.43,54.7851,0.15%
3241,023520,博时上证科创板人工智能ETF发起式联接A,2026-05-07,1.4425,1.4425,2.7,7.59,27.8,13.69,22.65,54.36,,,21.77,44.25,55.0575,0.10%
3242,015091,易方达优势长兴三个月持有混合(FOF)C,2026-05-06,1.3223,1.3223,3.24,4.61,19.18,11.6,10.22,54.35,51.29,38.87,13.36,32.23,,0.00%
3243,011638,广发沪港深价值成长混合C,2026-05-07,1.1543,1.1543,1.36,3.53,15.56,5.72,15.31,54.34,66.98,41.98,6.74,15.43,53.7222,0.00%
3244,022446,前海开源周期精选混合A,2026-05-07,1.6521,1.6521,-2.79,-1.53,30.06,49.28,55.35,54.33,,,41.01,65.21,54.8941,0.15%
3245,013417,博时核心资产精选混合A,2026-05-07,1.2982,1.2982,3.99,4.89,18.09,14.75,17.1,54.31,79.04,66.29,14.82,29.82,53.8516,0.15%
3246,011585,博时产业慧选混合A,2026-05-07,1.2362,1.2362,0.68,2.86,16.53,8.51,13.13,54.29,47.22,50.21,10.71,23.62,53.508,0.15%
3247,007983,申万菱信中证研发创新100ETF联接A,2026-05-07,2.2429,2.2429,1.37,4.06,19.97,14.17,17.53,54.27,72.41,40.05,17.12,124.29,53.8762,0.12%
3248,016866,华泰紫金中证500指数增强发起C,2026-05-07,1.4839,1.4839,1.0,3.8,15.07,5.84,18.2,54.24,62.92,53.58,16.3,48.39,53.5969,0.00%
3249,013096,安信远见成长混合C,2026-05-07,1.3935,1.3935,-1.09,-0.49,3.62,0.61,11.77,54.23,45.98,45.6,11.09,39.35,54.3873,0.00%
3250,014389,华安产业动力6个月持有混合A,2026-05-07,0.9675,0.9675,2.76,8.05,25.06,13.88,24.29,54.21,71.3,28.32,21.26,-3.25,51.3611,0.15%
3251,019499,兴全创新优势混合C,2026-05-07,1.9986,1.9986,0.03,2.32,13.62,13.87,16.97,54.21,99.5,,19.11,99.86,52.9268,0.00%
3252,008138,富国龙头优势混合A,2026-05-07,1.6782,1.6782,2.56,5.16,13.55,13.91,18.6,54.2,43.99,37.22,13.57,67.82,54.374,0.15%
3253,012621,诺安先锋混合C,2026-05-07,3.8978,3.8978,1.03,2.15,15.4,9.08,18.47,54.2,61.2,45.23,19.51,60.66,52.4007,0.00%
3254,017157,华富匠心领航18个月持有期混合A,2026-05-07,1.4132,1.4132,1.38,4.22,21.86,12.79,23.51,54.2,68.72,45.09,21.07,41.32,54.0944,0.15%
3255,015181,汇添富逆向投资混合C,2026-05-07,4.595,4.595,0.31,2.52,9.51,7.81,13.43,54.19,51.55,39.54,13.51,27.21,53.5249,0.00%
3256,016916,中金华证清洁能源指数发起C,2026-05-07,0.687,0.687,0.9,2.66,9.96,-3.98,-1.24,54.14,33.24,-12.42,8.27,-31.3,52.3957,0.00%
3257,022312,永赢中证500指数增强发起C,2026-05-07,1.4583,1.4583,0.36,3.41,13.52,7.9,15.7,54.12,,,15.15,45.83,53.7318,0.00%
3258,020076,财通资管创新成长混合C,2026-05-07,1.9719,2.0799,1.09,4.04,19.06,13.92,21.23,54.11,112.79,,23.14,114.56,54.2234,0.00%
3259,020474,中欧产业优选混合A,2026-05-07,1.6781,1.6781,-2.97,-1.61,9.9,4.86,10.85,54.1,49.08,,9.87,67.81,54.4927,0.15%
3260,003016,中金中证500指数增强A,2026-05-07,2.6297,2.6297,0.83,3.44,13.89,7.02,16.91,54.09,66.06,57.78,14.95,162.97,53.7027,0.10%
3261,011401,汇添富成长精选混合A,2026-05-07,0.894,0.894,2.1,4.95,18.5,11.85,14.15,54.08,75.02,47.31,15.67,-10.6,54.2177,0.15%
3262,012755,鹏华内地低碳联接C,2026-05-07,0.9064,0.9064,-0.49,1.81,11.98,6.67,0.81,54.07,48.59,17.39,10.81,-9.36,52.5156,0.00%
3263,090009,大成行业轮动混合A,2026-05-07,3.768,3.768,1.59,3.43,14.56,6.44,13.63,54.05,58.79,40.18,12.31,276.8,52.1195,0.15%
3264,013555,信澳远见价值混合C,2026-05-07,1.2836,1.2836,0.66,3.27,7.66,4.12,20.65,54.04,54.19,29.47,15.29,28.36,54.1306,0.00%
3265,160644,鹏华港美互联股票人民币,2026-05-06,1.9631,1.9671,9.41,9.95,27.7,17.28,27.13,54.03,68.42,117.25,29.89,96.91,,0.15%
3266,161612,融通深证成份指数A,2026-05-07,1.479,1.594,1.16,3.35,16.0,11.96,16.01,54.01,64.8,48.33,14.77,62.07,52.6086,0.12%
3267,003293,易方达科瑞混合,2026-05-07,2.5766,6.0836,0.41,1.71,11.64,11.97,17.29,54.01,39.87,27.64,18.23,198.87,53.2505,0.15%
3268,014640,兴全合衡三年持有混合C,2026-05-07,1.247,1.247,2.83,5.7,29.0,24.01,26.99,54.01,69.57,50.68,30.51,24.7,52.4823,0.00%
3269,004234,中欧数据挖掘多因子混合C,2026-05-07,2.5313,2.8763,1.0,2.83,11.78,6.81,17.42,54.0,74.08,65.88,15.56,202.2,53.1522,0.00%
3270,019913,华夏瑞益混合A1,2026-05-07,1.8467,1.8467,0.59,1.44,7.89,9.24,2.28,53.99,69.19,,15.25,84.67,53.0245,0.15%
3271,009538,太平行业优选股票C,2026-05-07,1.2823,1.3323,1.93,3.54,12.36,0.39,20.86,53.97,97.61,108.54,14.34,34.35,52.1657,0.00%
3272,015974,工银恒嘉一年持有混合C,2026-05-07,1.2344,1.2344,0.74,2.88,15.78,10.5,18.62,53.97,60.83,30.05,17.92,23.44,53.2084,0.00%
3273,008128,湘财长源股票型A,2026-05-07,1.2609,1.7531,1.2,3.14,9.9,15.2,18.21,53.94,74.88,31.82,18.43,84.81,52.1907,0.15%
3274,009646,南方核心成长混合A,2026-05-07,0.9931,0.9931,1.5,4.15,18.27,10.0,11.9,53.92,56.17,30.16,10.44,-0.69,53.3272,0.15%
3275,014507,博时成长臻选混合C,2026-05-07,1.4967,1.4967,0.82,1.84,9.84,10.67,11.71,53.92,70.56,62.3,15.41,49.67,53.4919,0.00%
3276,017964,招商匠心优选混合A,2026-05-07,1.9205,1.9205,0.54,2.43,5.85,1.96,18.39,53.92,67.85,92.05,17.91,92.05,55.3426,0.15%
3277,023521,博时上证科创板人工智能ETF发起式联接C,2026-05-07,1.4375,1.4375,2.69,7.59,27.77,13.6,22.47,53.91,,,21.64,43.75,54.5865,0.00%
3278,000850,汇丰晋信双核策略混合C,2026-05-07,1.9798,2.8228,1.43,2.36,10.49,-1.39,12.58,53.9,82.44,63.92,7.92,277.89,52.8449,0.00%
3279,015144,中欧智能制造混合C,2026-05-07,2.1406,2.1406,1.79,6.29,28.84,23.21,21.45,53.9,159.66,135.46,25.56,114.06,54.0887,0.00%
3280,002810,金信转型创新成长混合发起式A,2026-05-07,3.9611,3.9611,1.84,3.87,11.01,-2.05,18.68,53.89,116.22,119.45,11.9,296.11,51.1639,0.15%
3281,002512,长城久润混合A,2026-05-07,1.2974,1.5425,-1.84,-0.38,3.68,3.75,22.53,53.88,42.98,20.5,17.03,59.05,54.0672,0.15%
3282,019143,东财景气驱动混合发起式A,2026-05-07,1.8394,1.8394,1.6,5.28,25.95,5.86,39.89,53.87,90.16,,19.29,83.94,53.8861,0.15%
3283,166006,中欧行业成长混合(LOF)A,2026-05-07,2.5367,2.903,1.28,3.42,10.9,4.37,15.57,53.83,62.38,51.06,12.09,253.07,53.4418,0.15%
3284,019556,中银中证1000指数增强C,2026-05-07,1.8995,1.8995,1.25,2.66,12.1,8.72,21.08,53.83,74.22,,17.44,89.95,52.4968,0.00%
3285,013513,长安先进制造混合A,2026-05-07,1.0135,1.0135,5.44,8.38,28.67,24.37,28.78,53.82,83.64,55.54,23.95,1.35,55.1592,0.15%
3286,001886,中欧行业成长混合(LOF)E,2026-05-07,2.5478,2.9233,1.28,3.42,10.89,4.36,15.57,53.82,62.37,51.06,12.09,226.3,53.445,0.15%
3287,001214,华泰柏瑞中证500ETF联接A,2026-05-07,1.256,1.256,1.2,3.97,14.54,7.11,19.77,53.81,68.64,56.51,16.49,25.6,53.1521,0.10%
3288,007984,申万菱信中证研发创新100ETF联接C,2026-05-07,2.1998,2.1998,1.37,4.05,19.95,14.09,17.36,53.81,71.38,38.8,17.0,119.98,53.4245,0.00%
3289,017668,鹏华新材料混合发起式C,2026-05-07,1.3423,1.3423,0.68,2.14,0.55,-1.17,19.42,53.81,49.36,36.2,15.13,34.23,55.1433,0.00%
3290,021673,国泰黄金股ETF联接A,2026-05-07,1.6213,1.6213,1.74,5.87,1.86,-8.09,17.21,53.81,,,9.84,62.13,55.9542,0.10%
3291,010864,泓德卓远混合A,2026-05-07,0.8539,0.8539,1.27,3.47,14.91,9.6,9.39,53.8,62.34,38.91,12.9,-14.61,52.7823,0.15%
3292,023192,招商资管中证500指数增强发起A,2026-05-07,1.5511,1.5511,-0.03,2.65,11.94,7.3,19.01,53.79,,,16.26,55.11,53.2405,0.12%
3293,519951,长信利泰灵活配置混合A,2026-05-07,1.4811,1.9001,1.06,1.98,11.69,5.19,15.46,53.78,92.88,37.71,14.2,103.01,50.9632,0.08%
3294,002158,汇添富安鑫智选混合C,2026-05-07,1.241,1.576,0.4,0.98,5.71,2.82,9.92,53.78,59.1,41.83,6.25,62.2,53.2099,0.00%
3295,022685,中银中证1000指数增强E,2026-05-07,1.9044,1.9044,1.25,2.66,12.09,8.7,21.05,53.74,,,17.42,64.5,52.4008,0.00%
3296,001223,鹏华文化传媒娱乐股票,2026-05-07,1.854,1.854,4.27,7.67,25.35,6.92,20.47,53.73,50.49,42.29,14.59,85.4,53.4768,0.15%
3297,008949,平安匠心优选混合A,2026-05-07,1.7493,1.9863,1.93,3.05,17.48,12.55,19.3,53.72,94.39,70.58,17.32,111.5,53.9606,0.15%
3298,008396,博时中证500ETF联接A,2026-05-07,2.0105,2.0105,1.2,4.0,14.72,7.32,19.99,53.72,63.88,50.77,16.96,101.05,53.076,0.12%
3299,010808,达诚策略先锋混合A,2026-05-07,1.1644,1.1644,4.12,6.32,30.71,31.87,39.1,53.72,65.54,61.68,24.95,16.44,53.7365,0.15%
3300,021664,汇百川远航混合C,2026-05-07,1.7544,1.7544,0.58,2.95,11.6,9.35,19.94,53.72,,,20.62,75.44,52.809,0.00%
3301,022447,前海开源周期精选混合C,2026-05-07,1.6436,1.6436,-2.79,-1.54,30.02,49.13,55.04,53.72,,,40.83,64.36,54.2997,0.00%
3302,010293,华商量化优质精选混合,2026-05-07,1.0116,1.0116,1.21,3.59,11.4,-0.51,10.06,53.67,53.32,37.17,6.69,1.16,53.6219,0.15%
3303,017290,中欧科创主题混合(LOF)C,2026-05-07,3.3517,3.3517,1.66,6.2,29.37,22.45,19.79,53.67,154.55,128.85,24.48,104.41,54.0799,0.00%
3304,400011,东方核心动力混合A,2026-05-07,1.8638,2.5008,0.45,2.49,14.54,11.44,17.53,53.63,49.81,50.48,14.29,201.4,52.8707,0.15%
3305,018547,金鹰产业智选一年持有混合A,2026-05-07,1.4162,1.6162,3.23,5.28,31.31,27.7,38.49,53.63,79.89,,42.26,68.7,52.3374,0.15%
3306,007863,长信利泰灵活配置混合C,2026-05-07,1.6076,2.0076,1.06,1.98,11.68,5.16,15.4,53.62,92.41,37.25,14.16,70.55,50.8068,0.00%
3307,014986,东方核心动力混合C,2026-05-07,1.8468,2.2068,0.45,2.49,14.54,11.44,17.53,53.62,49.28,49.36,14.29,39.27,52.8555,0.00%
3308,000165,国投瑞银策略精选混合,2026-05-07,2.3395,4.3735,-0.72,1.41,9.11,2.6,10.7,53.61,49.75,44.87,5.91,581.57,53.4184,0.15%
3309,009789,富安达科技创新混合A,2026-05-07,1.4894,1.4894,1.99,3.97,26.47,23.0,5.17,53.61,54.58,16.24,15.62,48.94,52.712,0.15%
3310,007163,浦银安盛环保新能源A,2026-05-07,2.3981,2.3981,0.99,3.62,16.87,2.62,5.0,53.6,60.53,9.25,3.94,139.81,52.241,0.15%
3311,018972,富国致弘量化选股股票C,2026-05-07,1.5116,1.5116,0.98,3.39,16.5,14.99,22.7,53.6,54.32,,19.65,51.16,51.9501,0.00%
3312,009591,博时研究精选持有期混合A,2026-05-07,1.3582,1.4444,0.56,2.67,15.62,7.67,12.04,53.59,48.49,52.64,9.84,47.29,52.7784,0.15%
3313,014141,大成新能源混合发起式A,2026-05-07,1.3164,1.3164,0.27,2.76,10.45,5.42,1.33,53.59,45.38,37.51,8.13,31.64,51.8339,0.15%
3314,017158,华富匠心领航18个月持有期混合C,2026-05-07,1.396,1.396,1.38,4.2,21.82,12.68,23.27,53.58,67.37,43.36,20.9,39.6,53.4741,0.00%
3315,020108,富国国证信息技术创新主题ETF发起式联接A,2026-05-07,1.9479,1.9479,1.12,8.21,31.14,17.61,22.03,53.58,111.27,,27.46,94.79,53.8626,0.12%
3316,002780,前海联合泓鑫混合A,2026-05-07,3.8021,3.9221,0.85,3.31,17.31,9.44,18.88,53.54,79.12,38.98,12.51,297.47,53.0821,0.15%
3317,008491,万家周期优势企业混合A,2026-05-07,1.2874,1.2874,0.41,2.67,9.61,1.58,12.39,53.54,38.47,19.49,5.6,28.74,53.0979,0.15%
3318,016465,兴全合瑞混合C,2026-05-07,1.3809,1.3809,0.88,2.59,13.94,10.2,16.53,53.52,64.94,45.85,14.18,38.09,52.1653,0.00%
3319,021674,国泰黄金股ETF联接C,2026-05-07,1.6153,1.6153,1.74,5.87,1.85,-8.14,17.1,53.5,,,9.76,61.53,55.6466,0.00%
3320,003578,中金中证500指数增强C,2026-05-07,2.568,2.568,0.83,3.43,13.86,6.92,16.68,53.48,64.74,55.9,14.79,137.84,53.0941,0.00%
3321,010584,渤海汇金新动能主题混合A,2026-05-07,1.4673,1.4673,0.74,1.28,9.57,2.59,12.34,53.45,87.51,65.91,14.89,46.73,50.7397,0.12%
3322,009353,浙商科创一个月滚动持有混合A,2026-05-07,1.7133,1.7842,1.4,4.21,16.77,12.61,20.57,53.44,90.6,59.48,19.27,79.99,52.5955,0.08%
3323,011756,博时产业优选混合A,2026-05-07,1.2373,1.2373,0.61,2.84,16.07,8.94,13.6,53.44,46.41,48.91,11.81,23.73,52.6212,0.15%
3324,001667,南方转型增长混合A,2026-05-07,2.7775,2.7775,0.47,2.34,10.48,14.14,26.24,53.43,47.34,44.89,22.82,177.75,53.0134,0.15%
3325,000936,博时产业新动力混合A,2026-05-07,3.745,3.771,0.56,2.74,16.05,9.99,16.89,53.42,46.12,51.37,12.56,282.07,52.6702,0.15%
3326,006087,华泰柏瑞中证500ETF联接C,2026-05-07,1.2458,1.2458,1.19,3.97,14.51,7.05,19.62,53.42,67.81,55.36,16.4,112.67,52.7652,0.00%
3327,010809,达诚策略先锋混合C,2026-05-07,1.1517,1.1517,4.12,6.31,30.7,31.82,38.96,53.42,64.86,60.67,24.86,15.17,53.4168,0.00%
3328,501098,建信优享科技创新混合(LOF),2026-05-07,1.8351,1.8351,2.33,4.64,17.47,13.83,28.72,53.41,103.52,82.18,26.06,83.51,53.745,0.15%
3329,004875,融通深证成份指数C,2026-05-07,1.5,1.532,1.15,3.31,15.92,11.77,15.78,53.39,63.47,46.52,14.63,77.72,52.0005,0.00%
3330,013418,博时核心资产精选混合C,2026-05-07,1.2624,1.2624,3.99,4.88,18.03,14.57,16.75,53.39,76.88,63.29,14.58,26.24,52.9255,0.00%
3331,501078,广发科创主题灵活配置混合(LOF),2026-05-07,2.7982,2.7982,1.56,4.33,20.91,19.48,24.52,53.37,76.81,40.04,17.66,179.82,52.7902,0.15%
3332,005449,华夏行业龙头混合,2026-05-07,1.7494,1.7494,2.02,7.0,30.71,36.5,45.63,53.36,55.88,41.67,39.87,74.94,52.9062,0.15%
3333,002296,长城行业轮动混合A,2026-05-07,2.4532,2.4532,1.23,3.61,21.1,9.45,23.65,53.35,60.5,31.04,12.54,145.32,52.2403,0.15%
3334,014333,工银优势领航混合A,2026-05-07,1.1449,1.1449,3.07,5.58,23.89,13.19,13.73,53.33,44.78,20.8,16.73,14.49,52.6126,0.15%
3335,023198,招商资管中证500指数增强发起C,2026-05-07,1.5447,1.5447,-0.03,2.64,11.9,7.19,18.8,53.32,,,16.1,54.47,52.7742,0.00%
3336,001605,国富沪港深成长精选股票A,2026-05-07,2.4194,2.4194,1.25,4.08,15.74,10.48,10.95,53.31,62.05,48.06,13.5,141.94,53.6322,0.15%
3337,202017,南方深证成份ETF联接A,2026-05-07,1.4293,1.4293,1.12,3.35,15.99,11.84,15.85,53.31,61.05,42.92,14.85,42.93,51.9724,0.12%
3338,164809,工银中证500ETF联接A,2026-05-07,1.6731,2.0053,1.23,4.02,14.6,6.86,19.37,53.31,63.74,48.01,16.3,125.95,52.683,0.10%
3339,018175,富国龙头优势混合C,2026-05-07,1.676,1.676,2.56,5.15,13.49,13.74,18.26,53.3,44.67,37.06,13.34,36.24,53.4799,0.00%
3340,011883,招商蓝筹精选股票C,2026-05-07,1.0404,1.0404,1.78,5.57,15.06,9.41,18.9,53.29,76.43,56.59,17.57,4.04,52.8651,0.00%
3341,001241,国寿安保中证500ETF联接,2026-05-07,0.945,0.945,1.26,4.05,14.7,7.3,19.67,53.28,66.73,50.77,16.49,-5.51,52.6903,0.12%
3342,014390,华安产业动力6个月持有混合C,2026-05-07,0.9423,0.9423,2.76,8.04,24.99,13.69,23.91,53.27,69.2,25.99,20.99,-5.77,50.431,0.00%
3343,020109,富国国证信息技术创新主题ETF发起式联接C,2026-05-07,1.9383,1.9383,1.12,8.21,31.12,17.54,21.91,53.26,110.39,,27.36,93.83,53.5287,0.00%
3344,008397,博时中证500ETF联接C,2026-05-07,1.9726,1.9726,1.2,3.99,14.69,7.24,19.81,53.25,62.9,49.41,16.85,97.26,52.6071,0.00%
3345,019225,大成行业轮动混合C,2026-05-07,3.721,3.721,1.58,3.45,14.53,6.31,13.34,53.25,57.2,,12.15,47.95,51.3832,0.00%
3346,168105,九泰泰富灵活配置混合(LOF)A,2026-05-07,2.2685,2.2685,1.33,5.23,29.37,17.39,23.51,53.24,91.87,44.92,26.67,126.85,53.9114,0.12%
3347,011402,汇添富成长精选混合C,2026-05-07,0.8667,0.8667,2.1,4.94,18.45,11.69,13.8,53.24,72.99,44.74,15.44,-13.33,53.3711,0.00%
3348,481008,工银大盘蓝筹混合,2026-05-07,1.405,3.117,0.79,1.52,12.58,10.98,20.38,53.24,50.86,47.98,17.57,393.7,53.0919,0.15%
3349,008129,湘财长源股票型C,2026-05-07,1.2173,1.7048,1.2,3.13,9.85,15.06,17.91,53.2,73.16,29.87,18.22,78.44,51.4431,0.00%
3350,012706,中银核心精选混合A,2026-05-07,1.1375,1.1375,2.96,6.07,21.67,14.6,18.19,53.2,68.02,42.6,14.32,13.75,52.4595,0.15%
3351,010680,华夏新兴成长股票A,2026-05-07,1.1155,1.1155,1.06,4.37,21.24,14.88,16.59,53.19,70.46,59.86,19.88,11.55,52.2036,0.15%
3352,019354,易方达平衡视野混合A1,2026-05-07,1.7142,1.7142,0.57,1.87,8.77,6.41,12.18,53.19,68.01,,11.41,71.42,52.4953,1.50%
3353,012926,民生加银中证500指数增强A,2026-05-07,1.1297,1.1297,1.09,3.49,14.27,8.08,18.75,53.18,55.61,35.99,16.62,12.97,52.4561,0.15%
3354,020475,中欧产业优选混合C,2026-05-07,1.6556,1.6556,-2.97,-1.62,9.84,4.7,10.51,53.18,47.18,,9.64,65.56,53.5807,0.00%
3355,005904,华泰保兴成长优选A,2026-05-07,2.3927,2.7827,-0.73,0.8,6.39,4.02,9.78,53.16,41.65,46.52,7.85,200.39,53.6343,0.15%
3356,009354,浙商科创一个月滚动持有混合C,2026-05-07,1.697,1.7651,1.4,4.2,16.74,12.55,20.45,53.13,89.82,58.51,19.18,77.94,52.2929,0.00%
3357,017885,长城久润混合C,2026-05-07,1.565,1.565,-1.84,-0.39,3.64,3.63,22.24,53.13,41.53,18.68,16.83,9.97,53.3111,0.00%
3358,019253,富安达科技创新混合C,2026-05-07,1.4773,1.4773,1.99,3.96,26.44,22.9,5.0,53.12,53.61,,15.49,44.89,52.2205,0.00%
3359,020411,永赢中证沪深港黄金产业股票ETF发起联接A,2026-05-07,2.1298,2.1298,1.8,6.05,1.94,-8.57,15.72,53.09,69.68,,7.94,112.98,55.653,0.10%
3360,012428,华夏核心制造混合A,2026-05-07,1.3585,1.3585,2.01,4.08,20.62,18.18,10.1,53.07,71.05,46.25,15.97,35.85,51.6183,0.15%
3361,007164,浦银安盛环保新能源C,2026-05-07,2.3334,2.3334,0.99,3.61,16.83,2.53,4.82,53.06,59.41,8.1,3.82,133.34,51.7067,0.00%
3362,021855,博时中证油气资源ETF发起式联接A,2026-05-07,1.3696,1.3696,-2.02,-1.34,-4.06,6.73,29.65,53.05,,,24.86,36.96,53.6115,0.10%
3363,011586,博时产业慧选混合C,2026-05-07,1.1864,1.1864,0.68,2.84,16.46,8.3,12.68,53.04,44.88,46.63,10.4,18.64,52.2783,0.00%
3364,013514,长安先进制造混合C,2026-05-07,0.9908,0.9908,5.44,8.37,28.61,24.22,28.46,53.04,81.8,53.21,23.73,-0.92,54.4024,0.00%
3365,015087,易方达优势先锋一年持有混合(FOF)A,2026-05-06,1.3077,1.3077,1.2,1.18,8.18,3.06,7.87,53.04,50.41,39.09,8.25,30.77,,0.12%
3366,501188,汇添富核心精选混合(LOF),2026-05-07,1.1857,1.1857,2.82,6.09,33.08,14.85,16.73,53.03,69.34,38.48,21.94,18.57,52.6194,0.15%
3367,009647,南方核心成长混合C,2026-05-07,0.9591,0.9591,1.5,4.15,18.22,9.84,11.56,53.02,54.32,27.85,10.22,-4.09,52.4074,0.00%
3368,014317,广发价值领航一年持有混合A,2026-05-07,2.3395,2.3395,2.56,4.84,13.44,4.24,15.9,53.0,133.65,110.01,9.07,133.95,52.47,0.15%
