序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
38,019829,华夏数字产业混合A,2026-05-07,3.9156,3.9156,4.76,7.0,37.63,57.21,66.73,239.54,290.04,,55.44,291.56,240.1025,0.15%
39,017490,财通景气甄选一年持有期混合A,2026-05-07,3.7616,3.7616,2.4,4.01,35.73,52.92,54.53,238.61,247.14,,48.8,276.16,241.9326,0.15%
40,014915,财通匠心优选一年持有混合A,2026-05-07,2.3283,2.3283,2.42,4.05,36.21,52.87,54.32,238.27,230.16,188.98,49.58,132.83,241.5933,0.15%
41,019830,华夏数字产业混合C,2026-05-07,3.8563,3.8563,4.76,6.99,37.57,56.98,66.23,237.53,284.4,,55.11,285.63,238.094,0.00%
42,020899,天弘中证全指通信设备指数发起A,2026-05-07,3.5686,3.5686,4.29,6.57,25.91,37.45,54.04,236.79,240.35,,36.25,256.86,224.4477,0.10%
43,020900,天弘中证全指通信设备指数发起C,2026-05-07,3.5543,3.5543,4.29,6.57,25.88,37.39,53.89,236.14,239.05,,36.15,255.43,223.7952,0.00%
44,017491,财通景气甄选一年持有期混合C,2026-05-07,3.6788,3.6788,2.39,3.99,35.64,52.63,53.92,235.93,241.67,,48.39,267.88,239.2475,0.00%
45,014916,财通匠心优选一年持有混合C,2026-05-07,2.2536,2.2536,2.43,4.04,36.12,52.57,53.72,235.61,224.91,182.12,49.17,125.36,238.9382,0.00%
46,001194,景顺长城稳健回报混合A,2026-05-07,6.269,6.334,5.08,8.03,31.9,41.67,50.77,231.87,346.19,343.67,39.34,556.17,234.1684,0.10%
47,001407,景顺长城稳健回报混合C,2026-05-07,6.068,6.131,5.07,8.03,31.88,41.61,50.61,231.22,344.54,340.35,39.27,523.03,233.5899,0.00%
48,006265,红土创新新科技股票A,2026-05-07,8.8899,8.9399,5.54,8.16,36.55,53.75,85.92,230.6,304.91,214.06,72.45,802.51,230.0624,0.15%
49,020691,博时中证全指通信设备指数发起式A,2026-05-07,3.4227,3.4227,4.19,6.46,25.58,35.97,52.81,230.54,242.27,,34.87,242.27,218.7465,0.10%
