snapshot_date,snapshot_timestamp,up_ratio,turnover_total_billion,top_turnover_positive_ratio,continuation_score,pullback_risk_score,composite_score
2026-04-20,2026-04-20 15:00:00.000000000,0.617877298379756,24671.5252732162,0.5833333333333334,1.8,2,0.4000000000000001
2026-04-21,2026-04-21 03:09:04.498691082,0.2568206620589305,14768.026881713398,0.5,0.3999999999999999,4,-2.4
2026-04-22,2026-04-22 12:18:43.607393503,0.5311988357285792,25788.7339467624,0.75,1.3,3,-0.7999999999999996
2026-04-23,2026-04-23 00:45:47.054148912,0.5311988357285792,25788.7339467624,0.75,1.3,3,-0.7999999999999996
2026-04-24,2026-04-24 05:13:15.414960861,0.2409024745269286,18810.9321259445,0.25,-1.9,4,-4.7
2026-05-08,2026-05-08 07:59:16.642543316,0.6623565835002732,30757.525372507404,0.5,2.3,0,2.3
2026-05-11,2026-05-11 08:48:35.898309231,0.5660137830975698,35649.8337848,0.9166666666666666,2.3,0,2.3
2026-05-12,2026-05-12 02:43:19.419959307,0.2922340817077659,17205.98425799,0.75,-0.9000000000000001,2,-2.3
2026-05-25,2026-05-25 07:58:02.779099941,0.39503713095453724,32265.70105009,1.0,0.19999999999999996,3,-1.8999999999999997
